"X","Y"
8.1636858,48.9199406
8.1644246,48.919358
8.1647079,48.9189831
8.1648189,48.9186663
8.1647595,48.9183158
8.1645501,48.917755
8.1642242,48.9162804
8.1641745,48.9154306
8.1643583,48.9137796
8.1646145,48.9129646
8.1650876,48.9119266
8.1654548,48.9113668
8.1659107,48.9106716
8.1660092,48.9105553
8.1664926,48.9099844
8.1670851,48.9093913
8.1672708,48.9092156
8.1676223,48.908883
8.1683817,48.9082857
8.1687801,48.9079937
8.1701074,48.9071978
8.170924,48.9068301
8.1709657,48.9068114
8.171129,48.9067378
8.1713218,48.9066582
8.1748996,48.9051798
8.1775044,48.9041033
8.1798012,48.9031694
8.1799172,48.9031166
8.180627,48.9027932
8.1813741,48.9023725
8.1815413,48.902249
8.1816691,48.9021807
8.1828295,48.9012429
8.1833496,48.9007045
8.1847927,48.8992263
8.1873658,48.8965903
8.1900678,48.893792
8.1904396,48.8932374
8.1909483,48.8922927
8.191394,48.8914094
8.1933849,48.8874637
8.195671,48.8828714
8.1957563,48.8827
8.1981298,48.8779731
8.1995919,48.8749797
8.1997983,48.8743061
8.1998518,48.8741315
8.1999224,48.8734522
8.1998639,48.8724568
8.199441,48.869007
8.1987258,48.8653618
8.1985616,48.8645294
8.1982056,48.8632491
8.1968984,48.8603638
8.1967565,48.8598116
8.1967533,48.8593172
8.196849,48.8590217
8.1970204,48.8587513
8.1976641,48.8580896
8.1981402,48.8578451
8.1994527,48.857335
8.2003752,48.8569765
8.2008148,48.8567005
8.2030672,48.854946
8.2034802,48.8547088
8.2040752,48.8544383
8.2048808,48.854272
8.2051094,48.8542419
8.2058266,48.8542816
8.2063408,48.854383
8.2068427,48.8545579
8.2071553,48.8546668
8.2074554,48.8547713
8.2074848,48.8547815
8.20763,48.8548591
8.2078438,48.8549734
8.2086988,48.8555751
8.209124,48.8559069
8.2095797,48.8563448
8.2098301,48.856543
8.2103101,48.8569229
8.2107756,48.857174
8.2112548,48.8573089
8.2118751,48.8574216
8.2123445,48.8574326
8.2130732,48.8573678
8.2135205,48.8572642
8.2140691,48.8570852
8.2167111,48.8557548
8.2181568,48.8549469
8.2188046,48.8544232
8.2194459,48.8535574
8.2197224,48.8528634
8.2197374,48.8527678
8.2198225,48.852227
8.2195785,48.848514
8.219555,48.8479026
8.219635,48.8473099
8.2197753,48.8467911
8.220017,48.8463399
8.2205367,48.8456392
8.2210629,48.8450949
8.2221322,48.844258
8.2224078,48.8440422
8.2240163,48.8429747
8.2255392,48.8421261
8.2265889,48.8416948
8.2284599,48.8412001
8.2312238,48.8405232
8.2339078,48.8399237
8.2360731,48.83944
8.2393461,48.8388969
8.2394268,48.8388835
8.2406247,48.8386847
8.2432293,48.8381903
8.2446153,48.8378453
8.2458244,48.8374466
8.2466722,48.8370709
8.2476494,48.8366377
8.2525753,48.8340443
8.253951,48.8334328
8.2553525,48.8329826
8.2566032,48.8327428
8.2580239,48.832615
8.2582139,48.8326154
8.2595465,48.8326178
8.2597576,48.8326194
8.2645803,48.8326501
8.2703076,48.8326867
8.2705671,48.8326883
8.2718338,48.8326963
8.2729126,48.8327032
8.2739153,48.8326315
8.2739178,48.8326314
8.274874,48.8325011
8.2749107,48.8324961
8.2756447,48.832335
8.2763326,48.8321269
8.2772705,48.8317576
8.2780809,48.8313035
8.2791126,48.8306414
8.2795528,48.8303589
8.2808276,48.8296035
8.2810411,48.8295141
8.2834565,48.8285627
8.283913,48.8283828
8.2847146,48.8279913
8.2854432,48.827493
8.2857748,48.8271781
8.2861305,48.8267585
8.2863479,48.8263885
8.2865788,48.8259955
8.2874398,48.8244801
8.2875159,48.8243728
8.2880725,48.8237402
8.2885748,48.8233523
8.2891136,48.8230455
8.2895613,48.8228474
8.289763,48.8227582
8.2899063,48.8226948
8.2901028,48.8226079
8.2919378,48.8220122
8.2934598,48.8215181
8.2946354,48.8209715
8.2946482,48.8209656
8.2946485,48.8209654
8.2946936,48.8209405
8.2948673,48.8208446
8.2956411,48.8203435
8.2961653,48.8199194
8.2970056,48.8190986
8.2973802,48.8186894
8.2975442,48.8184858
8.2977596,48.8182401
8.2980047,48.8179855
8.2982069,48.817795
8.298474,48.8175685
8.2991502,48.8170305
8.2994281,48.8168123
8.2996752,48.8166223
8.3005005,48.8159877
8.3010611,48.8155342
8.3012285,48.8153987
8.3014432,48.8152183
8.3019792,48.8147521
8.3022274,48.8145201
8.3024292,48.8143114
8.3026697,48.8140375
8.3029835,48.8136483
8.303131,48.8134405
8.3032716,48.8132115
8.3034806,48.8128304
